NEW.ID_PROG;YEAR;JULIANDAY;nb_evenement;HS;DS;HEURE_MIN;HEURE_MAX;DUREE;DUREE_CONSIDEREE;VALIDE;SESSION
106;2003;172;5;;;05:35;09:45;4,17;4,17;TRUE;2
106;2003;187;7;;;06:25;10:50;4,42;4,42;TRUE;3
106;2004;143;6;;;05:50;08:24;2,57;2,57;FALSE;1
106;2004;166;12;;;05:35;09:50;4,25;4,25;TRUE;2
106;2004;182;13;;;05:40;10:20;4,67;4,67;TRUE;3
106;2005;148;10;;;05:35;09:20;3,75;3,75;FALSE;1
106;2005;160;7;;;05:30;09:55;4,42;4,42;TRUE;2
106;2005;181;7;;;05:30;08:55;3,42;3,42;FALSE;3
106;2006;153;5;;;05:25;10:15;4,83;4,83;TRUE;1
106;2006;176;15;;;05:25;10:00;4,58;4,58;TRUE;2
106;2006;189;8;;;05:45;09:25;3,67;3,67;FALSE;3
106;2007;102;4;;;07:55;10:10;2,25;2,25;FALSE;0
106;2007;115;11;;;06:45;11:50;5,08;5,08;TRUE;0
106;2007;135;6;;;06:05;10:45;4,67;4,67;TRUE;0
106;2007;150;6;;;05:40;07:05;1,42;1,42;FALSE;0
106;2007;155;14;;;06:20;11:55;5,58;5,58;TRUE;1
106;2007;163;8;;;05:20;10:05;4,75;4,75;TRUE;2
106;2007;179;13;;;05:15;11:20;6,08;6,08;TRUE;0
106;2007;189;21;;;05:35;10:30;4,92;4,92;TRUE;3
106;2008;148;10;;;05:50;10:05;4,25;4,25;TRUE;1
106;2008;166;9;;;05:45;11:00;5,25;5,25;TRUE;2
106;2008;185;12;;;06:00;11:45;5,75;5,75;TRUE;3
106;2009;150;18;;;05:50;10:00;4,17;4,17;TRUE;1
106;2009;164;33;;;05:30;10:30;5;5;TRUE;2
106;2009;190;17;;;05:30;10:30;5;5;TRUE;3
106;2010;128;17;;;06:05;10:15;4,17;4,17;TRUE;0
106;2010;145;24;;;05:35;10:30;4,92;4,92;TRUE;1
106;2010;164;31;;;05:10;10:20;5,17;5,17;TRUE;0
106;2010;165;15;;;05:15;11:00;5,75;5,75;TRUE;2
106;2010;182;19;;;05:15;11:40;6,42;6,42;TRUE;3
106;2010;189;21;;;05:15;10:45;5,5;5,5;TRUE;0
106;2011;139;24;;;06:00;11:00;5;5;TRUE;1
106;2011;158;29;;;05:25;11:45;6,33;6,33;TRUE;2
106;2011;183;24;;;05:15;11:00;5,75;5,75;TRUE;3
106;2012;146;4;;;05:45;11:00;5,25;5,25;FALSE;0
106;2012;197;14;;;05:45;10:00;4,25;4,25;TRUE;0
106;2013;149;4;;;05:45;08:45;3;3;FALSE;1
106;2013;176;18;;;05:30;11:00;5,5;5,5;TRUE;2
106;2013;183;11;;;05:30;10:00;4,5;4,5;TRUE;3
106;2013;192;15;;;06:30;10:00;3,5;3,5;FALSE;0
107;2003;151;3;;;06:00;12:00;6;6;FALSE;0
107;2003;166;8;;;06:20;10:20;4;4;TRUE;1
107;2003;182;11;;;07:05;11:40;4,58;4,58;TRUE;2
107;2003;196;19;;;06:30;12:40;6,17;6,17;TRUE;0
107;2003;210;25;;;06:30;13:45;7,25;7,25;TRUE;3
107;2004;141;4;;;06:29;09:03;2,57;2,57;FALSE;0
107;2004;158;8;;;06:12;12:24;6,2;6,2;TRUE;1
107;2004;183;8;;;06:02;08:50;2,8;2,8;FALSE;2
107;2004;199;6;;;06:24;11:32;5,13;5,13;TRUE;3
107;2004;213;5;;;06:44;12:53;6,15;6,15;TRUE;0
107;2005;149;6;;;06:51;11:21;4,5;4,5;TRUE;1
107;2005;163;6;;;07:31;13:03;5,53;5,53;TRUE;0
107;2005;177;9;;;06:34;12:19;5,75;5,75;TRUE;2
107;2005;195;7;;;06:28;12:45;6,28;6,28;TRUE;3
