"HABITAT";"SP";"ABUND025";"ABUND25";"ABUND50";"ABUND75";"ABUND90";"ABUND975";"NB_STATION_CAPTURE";"NB_STATION";"PROP_STATION_CAPTURE";"HABITAT_SP";"MIGRATION";"nb_site";"prop_site"
"Terrestre";"SYLCOM";0;0;1,5;7;13,5;23;22;53;0,408602150537634;"Terrestre";"Long";151;0,599206349206349
"Terrestre";"SYLCUR";0;0;1;2;4,2;6,3;8;53;0,178571428571429;"Terrestre";"Long";63;0,25
"Terrestre";"SYLHOR";0,1;1;2,5;3,5;4;4;2;80;0,025974025974026;"Terrestre";"Long";9;0,0357142857142857
"Terrestre";"SYLSAR";2;2;2;2;2;2;1;77;0,012987012987013;"Terrestre";"Long";1;0,00396825396825397
"Terrestre";"SYLUND";0;0;0;0,5;1,1;1,4;2;80,5;0,0238095238095238;"Terrestre";"Court";17;0,0674603174603175
"Terrestre";"TRITOT";0;0;0;0;0;0;0;80;0;"Aquatique";"Court";1;0,00396825396825397
"Terrestre";"TROTRO";0;0;1;3;5;7,3;23;53;0,521276595744681;"Terrestre";"Court";219;0,869047619047619
"Terrestre";"TURMER";0;4;7;12,75;19,2;21,725;50;53;0,943396226415094;"Terrestre";"Court";250;0,992063492063492
"Terrestre";"TURPHI";0;0;1;3;5;8,59999999999999;30;53;0,615384615384615;"Terrestre";"Court";220;0,873015873015873
"Terrestre";"TURPIL";0;0;0;0;0;0;0;58;0;"Terrestre";"Court";9;0,0357142857142857
"Terrestre";"TURTOR";0;0;0;0;0;0;0;84;0;"Terrestre";"Long";3;0,0119047619047619
"Terrestre";"TURVIS";0;0;0;0;1;1,8;2;60;0,0357142857142857;"Terrestre";"Court";42;0,166666666666667
"Terrestre";"TYTALB";0;0;0;0;0;0;0;53;0;"Terrestre";"Court";1;0,00396825396825397
"Terrestre";"UPUEPO";0;0;0;0;0,8;0,95;1;58;0,0125;"Terrestre";"Long";10;0,0396825396825397
"STOC-rozo";"ACRAGR";0;0;0;0;0;0;0;13;0;"Aquatique";"Court";1;0,025
"STOC-rozo";"ACRARU";0;0;0,5;2;4;4,75;2;12;0,142857142857143;"Aquatique";"Long";8;0,2
"STOC-rozo";"ACRMEL";0,5125;0,625;0,75;0,875;0,95;0,9875;1;10;0,142857142857143;"Aquatique";"Court";2;0,05
"STOC-rozo";"ACRRIS";0;0;1;2,25;3,1;3,775;4;11;0,384615384615385;"Aquatique";"Long";20;0,5
"STOC-rozo";"ACRSCH";0;1;5;11;16,6;20,8;7;11;0,666666666666667;"Aquatique";"Long";35;0,875
"STOC-rozo";"ACRSCI";12,3;22,5;31;39;48;54;11;11;1;"Aquatique";"Long";38;0,95
"STOC-rozo";"AEGCAU";0;0;0;0;0,6;0,9;1;11,5;0,0769230769230769;"Terrestre";"Court";15;0,375
"STOC-rozo";"ALCATT";0;0;0;0;0,15;0,4125;0,5;11;0,0357142857142857;"Aquatique";"Court";15;0,375
"STOC-rozo";"ANTPRA";0;0;0;0;0;0;0;12;0;"Terrestre";"Court";1;0,025
"STOC-rozo";"APUAPU";0;0;0;0;0;0;0;13;0;"Terrestre";"Long";2;0,05
"STOC-rozo";"CARCHL";0;0;0;0;0;0;0;11;0;"Terrestre";"Court";7;0,175
"STOC-rozo";"CARINA";0;0;0;0;0;0;0;11;0;"Terrestre";"Court";8;0,2
"STOC-rozo";"CARLIS";0;0;0;0;0;0;0;11;0;"Terrestre";"Court";7;0,175
"STOC-rozo";"CERYLA";0;0;0;0;0;0;0;11,5;0;"Terrestre";"Court";11;0,275
"STOC-rozo";"CETCET";0;0;0;1;2,2;3,55;3;11;0,333333333333333;"Aquatique";"Court";28;0,7
"STOC-rozo";"CISJUN";0;0;0;0;0;0;0;12;0;"Aquatique";"Court";5;0,125
"STOC-rozo";"COCTES";0;0;0;0;0;0;0;11;0;"Terrestre";"Court";1;0,025
"STOC-rozo";"CUCCAN";0;0;0;0;0;0;0;13;0;"Terrestre";"Long";1;0,025
"STOC-rozo";"DELURB";0;0;0;0;0;0;0;13;0;"Terrestre";"Long";2;0,05
"STOC-rozo";"DENMAJ";0;0;0;0;0;0;0;11,5;0;"Terrestre";"Court";8;0,2
"STOC-rozo";"EMBCIR";0;0;0;0;0;0;0;13;0;"Terrestre";"Court";1;0,025
"STOC-rozo";"EMBCIT";0;0;0;0,25;0,7;0,925;1;11;0,0769230769230769;"Terrestre";"Court";5;0,125
"STOC-rozo";"EMBSCH";0,275;2;4;6,5;8,4;9,8;9;11;0,909090909090909;"Aquatique";"Court";35;0,875
"STOC-rozo";"ERIRUB";0;0;0;0;1;1;1;11;0,0909090909090909;"Terrestre";"Court";22;0,55
"STOC-rozo";"FRICOE";0;0;0,25;0,625;0,85;0,9625;1;12,5;0,0801282051282051;"Terrestre";"Court";8;0,2
"STOC-rozo";"GARGLA";0;0;0;0;0;0;0;12,5;0;"Terrestre";"Court";6;0,15
"STOC-rozo";"HIPPOL";0;0;0;0;0,55;0,8875;1;11,5;0,0769230769230769;"Terrestre";"Long";15;0,375
"STOC-rozo";"HIRRUS";0;0;0;0;0,5;0,975;1;12;0,0909090909090909;"Terrestre";"Long";19;0,475
"STOC-rozo";"IXOMIN";0;0;0;0;0;0;0;12;0;"Aquatique";"Long";4;0,1
"STOC-rozo";"JYNTOR";0;0;0;0;0;0;0;12;0;"Terrestre";"Long";2;0,05
"STOC-rozo";"LANRIO";0;0;0;0;0;0;0;12,5;0;"Terrestre";"Long";5;0,125
"STOC-rozo";"LOCLUS";0;0;0;1,5;2,3;2,825;3;11;0,272727272727273;"Aquatique";"Long";18;0,45
"STOC-rozo";"LOCNAE";0;0;0;0,75;2;2,85;2;11;0,222222222222222;"Aquatique";"Long";21;0,525
"STOC-rozo";"LUSMEG";0;0;0;0,25;0,8;0,95;1;12;0,0769230769230769;"Terrestre";"Long";12;0,3
"STOC-rozo";"LUSSVE";0,25;1,75;3;5;8,4;8,875;6;11;0,571428571428571;"Aquatique";"Long";23;0,575
"STOC-rozo";"MERAPI";0,5;0,5;0,5;0,5;0,5;0,5;0,5;10;0,0384615384615385;"Terrestre";"Long";1;0,025
"STOC-rozo";"MOTALB";0;0;0;0;0;0;0;11,5;0;"Terrestre";"Court";6;0,15
"STOC-rozo";"MOTFLA";0;0;1;1,5;2,8;3,7;2;12;0,222222222222222;"Terrestre";"Long";8;0,2
"STOC-rozo";"MUSSTR";0;0;0;0;0;0;0;13;0;"Terrestre";"Long";1;0,025
"STOC-rozo";"PANBIA";0;0;6,5;22,25;29,8;33,5;3;12;0,230769230769231;"Aquatique";"Court";9;0,225
"STOC-rozo";"PAPALU";0;0;0;0;0;0;0;12,5;0;"Terrestre";"Court";5;0,125
"STOC-rozo";"PARCAE";0;0;0,5;1;2;4;4;11;0,444444444444444;"Terrestre";"Court";32;0,8
"STOC-rozo";"PARCRI";0;0;0;0;0;0;0;12,5;0;"Terrestre";"Court";3;0,075
"STOC-rozo";"PARMAJ";0;0;0;0;1;1,6375;2;11;0,16025641025641;"Terrestre";"Court";28;0,7
"STOC-rozo";"PARNUS";0;0;0;0;0;0;0;11;0;"Terrestre";"Court";7;0,175
"STOC-rozo";"PASDOM";0;0;0;0;0;0;0;11;0;"Terrestre";"Court";8;0,2
"STOC-rozo";"PASMON";0,0125;0,125;0,25;0,375;0,45;0,4875;0,5;10;0,0714285714285714;"Terrestre";"Court";2;0,05
"STOC-rozo";"PHOPHO";0;0;0;0;0;0;0;12;0;"Terrestre";"Long";1;0,025
"STOC-rozo";"PHYCOL";0;0;0;1,5;3;4,25;4;11;0,357142857142857;"Terrestre";"Court";32;0,8
"STOC-rozo";"PHYLUS";0;0;0;1;1,55;1,8875;1;11;0,118055555555556;"Terrestre";"Long";14;0,35
"STOC-rozo";"PORANA";0;0;0;0;0;0;0;11;0;"Aquatique";"Long";2;0,05
"STOC-rozo";"PRUMOD";0;0;0;1;1,8;2,6;2;11;0,230769230769231;"Terrestre";"Court";27;0,675
"STOC-rozo";"PYRULA";0;0;0;0,5;0,8;0,95;1;11;0,0714285714285714;"Terrestre";"Court";9;0,225
"STOC-rozo";"RALAQU";0;0;0;0;0;0;0;11;0;"Aquatique";"Court";7;0,175
"STOC-rozo";"REGIGN";0;0;0;0;0;0;0;13;0;"Terrestre";"Court";1;0,025
"STOC-rozo";"REGREG";0;0;0;0;0;0;0;12,5;0;"Terrestre";"Court";2;0,05
"STOC-rozo";"RIPRIP";0;0;0;0;0;0;0;11;0;"Terrestre";"Long";8;0,2
"STOC-rozo";"SAXRUB";0;0;0;0;0;0;0;12;0;"Terrestre";"Long";5;0,125
