"YEAR";"AGE_first";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"HABITAT"
1995;"JUV";"Court";0;0;0;0,0294117647058824;0,108823529411765;"STOC-rozo"
1996;"JUV";"Court";0;0;0;0,0454545454545455;0,0863636363636364;"STOC-rozo"
1997;"JUV";"Court";0,00125;0,0125;0,025;0,0375;0,04875;"STOC-rozo"
1998;"JUV";"Court";0,00185185185185185;0,0185185185185185;0,037037037037037;0,0385185185185185;0,0398518518518519;"STOC-rozo"
1999;"JUV";"Court";0,0230555555555556;0,0305555555555556;0,0388888888888889;0,0472222222222222;0,0547222222222222;"STOC-rozo"
2000;"JUV";"Court";0;0;0,00980392156862745;0,04437564499484;0,0861244019138756;"STOC-rozo"
2001;"JUV";"Court";0;0;0;0,0326086956521739;0,164525691699605;"STOC-rozo"
2002;"JUV";"Court";0;0;0;0,0341386554621849;0,0756868131868132;"STOC-rozo"
2003;"JUV";"Court";0;0;0;0,0106382978723404;0,121796140524493;"STOC-rozo"
2004;"JUV";"Court";0;0;0;0,0588235294117647;0,0783333333333333;"STOC-rozo"
2005;"JUV";"Court";0;0;0;0,00815217391304348;0,0653195488721804;"STOC-rozo"
2006;"JUV";"Court";0;0;0;0,0169491525423729;0,158333333333333;"STOC-rozo"
2007;"JUV";"Court";0;0;0,0155122655122655;0,0508658008658009;0,177673796791444;"STOC-rozo"
2008;"JUV";"Court";0;0;0;0,0555555555555556;0,0696832579185521;"STOC-rozo"
2009;"JUV";"Court";0;0;0,0178571428571429;0,0510135135135135;0,140416666666667;"STOC-rozo"
2010;"JUV";"Court";0;0;0;0,0204238329238329;0,128525641025641;"STOC-rozo"
2011;"JUV";"Court";0;0;0;0,0446428571428571;0,100681390977444;"STOC-rozo"
2012;"JUV";"Court";0;0;0;0,00219298245614035;0,0855263157894737;"STOC-rozo"
2013;"JUV";"Court";0;0;0;0;0,0583333333333333;"STOC-rozo"
2014;"JUV";"Court";0;0;0;0,0228982744783307;0,111710963455149;"STOC-rozo"
2015;"JUV";"Court";0;0;0;0,0225146198830409;0,0961363636363636;"STOC-rozo"
2016;"JUV";"Court";0;0;0;0,0128205128205128;0,05503003003003;"STOC-rozo"
2017;"JUV";"Court";0;0;0,0114801864801865;0,078525641025641;0,101984126984127;"STOC-rozo"
2018;"JUV";"Court";0;0;0;0;0,0729166666666667;"STOC-rozo"
1996;"AD";"Long";0;0;0;0;0;"STOC-rozo"
1997;"AD";"Long";0,153846153846154;0,153846153846154;0,153846153846154;0,153846153846154;0,153846153846154;"STOC-rozo"
1998;"AD";"Long";0,0618758434547908;0,157219973009447;0,263157894736842;0,292869269949066;0,319609507640068;"STOC-rozo"
1999;"AD";"Long";0,315789473684211;0,315789473684211;0,315789473684211;0,315789473684211;0,315789473684211;"STOC-rozo"
2000;"AD";"Long";0;0;0;0,0227272727272727;0,0840909090909091;"STOC-rozo"
2001;"AD";"Long";0;0;0,0882352941176471;0,211898395721925;0,307553475935829;"STOC-rozo"
2002;"AD";"Long";0;0;0,0476190476190476;0,111111111111111;0,264935064935065;"STOC-rozo"
2003;"AD";"Long";0;0;0,0714285714285714;0,142857142857143;0,389333333333333;"STOC-rozo"
2004;"AD";"Long";0;0;0;0,208743842364532;0,291346153846154;"STOC-rozo"
2005;"AD";"Long";0,0815705128205128;0,123397435897436;0,228535353535354;0,335858585858586;0,383585858585859;"STOC-rozo"
2006;"AD";"Long";0;0;0;0,159774436090226;0,224342105263158;"STOC-rozo"
