"YEAR";"HABITAT";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"ESPECE"
2011;"Terrestre";2,51704545454545;2,67045454545455;2,86363636363636;3,05357142857143;3,19821428571429;"LUSSVE"
2012;"Terrestre";3,35714285714286;3,57142857142857;3,80952380952381;4,04761904761905;4,26190476190476;"LUSSVE"
2013;"Terrestre";1,91761363636364;2,30113636363636;2,72727272727273;2,86363636363636;2,98636363636364;"LUSSVE"
2014;"Terrestre";1,195;2,95;3,84545454545455;4,31818181818182;4,93181818181818;"LUSSVE"
2015;"Terrestre";1,0672238372093;1,25363372093023;1,46075581395349;1,66787790697674;1,85428779069767;"LUSSVE"
2016;"Terrestre";2,06931818181818;2,28409090909091;2,52272727272727;2,76136363636364;2,97613636363636;"LUSSVE"
2017;"Terrestre";2,72727272727273;2,72727272727273;2,72727272727273;2,72727272727273;2,72727272727273;"LUSSVE"
1996;"Terrestre";0,9375;0,9375;0,9375;0,9375;0,9375;"MUSSTR"
2000;"Terrestre";0,9375;0,9375;0,9375;0,9375;0,9375;"MUSSTR"
2002;"Terrestre";1,77828054298643;1,90045248868778;2,03619909502262;2,17194570135747;2,29411764705882;"MUSSTR"
2003;"Terrestre";15;15;15;15;15;"MUSSTR"
2005;"Terrestre";1,1625;1,24038461538462;1,32692307692308;1,41346153846154;1,49134615384615;"MUSSTR"
2006;"Terrestre";30;30;30;30;30;"MUSSTR"
2007;"Terrestre";3,75;3,75;3,75;3,75;3,75;"MUSSTR"
2008;"Terrestre";2,15521978021978;2,26648351648352;3,2967032967033;4,28571428571429;4,28571428571429;"MUSSTR"
2010;"Terrestre";1,296875;1,71875;2,1375;2,55;2,955;"MUSSTR"
2011;"Terrestre";3,88125;5,0625;6,375;7,6875;8,86875;"MUSSTR"
2012;"Terrestre";1,07142857142857;1,07142857142857;1,07142857142857;1,07142857142857;1,07142857142857;"MUSSTR"
2013;"Terrestre";1,37220149253731;1,63246268656716;1,92164179104478;2,21082089552239;2,47108208955224;"MUSSTR"
2014;"Terrestre";2,5375;2,875;3,16666666666667;4,10714285714286;6,19642857142857;"MUSSTR"
2015;"Terrestre";1,38316231343284;1,74207089552239;2,1875;2,94642857142857;4,15178571428571;"MUSSTR"
2016;"Terrestre";1,5;1,5;1,5;1,5;1,5;"MUSSTR"
2017;"Terrestre";2,72654584221748;3,0863539445629;3,48614072494669;3,88592750533049;4,24573560767591;"MUSSTR"
2018;"Terrestre";0,980277185501066;1,74307036247335;2,59061833688699;3,43816631130064;4,20095948827292;"MUSSTR"
2019;"Terrestre";2,72654584221748;3,0863539445629;3,48614072494669;3,88592750533049;4,24573560767591;"MUSSTR"
1989;"Terrestre";2;2;2;2;2;"PAPALU"
