"YEAR";"HABITAT";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"ESPECE"
1991;"Terrestre";0,634117647058824;1,04705882352941;1,48235294117647;1,79227941176471;1,86672794117647;"GARGLA"
1992;"Terrestre";0,6253125;0,853125;1,03478773584906;1,14905660377358;1,19490566037736;"GARGLA"
1993;"Terrestre";0,596078431372549;0,666666666666667;0,810810810810811;0,833333333333333;5,48333333333334;"GARGLA"
1994;"Terrestre";0,886156186612576;0,920385395537525;0,95841784989858;0,996450304259635;1,03067951318458;"GARGLA"
1995;"Terrestre";0,942349137931034;0,985991379310345;1,03448275862069;4,26724137931035;7,17672413793104;"GARGLA"
1996;"Terrestre";0,672916666666667;0,729166666666667;0,84375;0,991586538461538;1,13762019230769;"GARGLA"
1997;"Terrestre";0,944196428571429;1,00446428571429;1,07142857142857;1,28571428571429;1,47857142857143;"GARGLA"
1998;"Terrestre";0,777083333333333;1,02083333333333;1,49305555555556;2,34375;3,609375;"GARGLA"
1999;"Terrestre";1,1015625;2,578125;4,21875;5,859375;7,3359375;"GARGLA"
2000;"Terrestre";0,798387096774194;0,878607809847199;0,967741935483871;1,08387096774194;1,18838709677419;"GARGLA"
2001;"Terrestre";0,79020979020979;1,05454545454545;1,25;1,25;1,8875;"GARGLA"
2002;"Terrestre";0,642410714285714;0,799107142857143;1,42857142857143;2,125;2,4625;"GARGLA"
2003;"Terrestre";0,86218487394958;1,11111111111111;1,66666666666667;2,14285714285714;3,26923076923077;"GARGLA"
2004;"Terrestre";1;1,33223684210526;2,00735294117647;2,875;9,575;"GARGLA"
2005;"Terrestre";0,756521739130435;1,2;2;2,5;3,76428571428571;"GARGLA"
2006;"Terrestre";1,08170914542729;1,51029748283753;1,77083333333333;2,79545454545455;4,65;"GARGLA"
2007;"Terrestre";1,24300699300699;1,69117647058824;2,14285714285714;2,5;6,4375;"GARGLA"
2008;"Terrestre";0,890625;2,22527472527473;2,85714285714286;3;4,45;"GARGLA"
2009;"Terrestre";0,767303889255109;1,58333333333333;2;2,86363636363636;4,9875;"GARGLA"
2010;"Terrestre";1,28571428571429;2,14285714285714;2,5;3;6,28571428571429;"GARGLA"
2011;"Terrestre";1,6;1,875;2,72727272727273;3,52941176470588;6,88;"GARGLA"
2012;"Terrestre";1,25;2;2,72727272727273;3,33333333333333;6,33333333333333;"GARGLA"
2013;"Terrestre";0,78760162601626;1,84659090909091;2,14285714285714;3;6,8;"GARGLA"
2014;"Terrestre";1,24251152073733;1,875;2,5;3;5,37692307692308;"GARGLA"
