"SP";"YEAR";"AGE_first";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"HABITAT"
"PASDOM";2001;"AD";"Court";25,5913490853659;26,5420768870136;27,109748427673;27,675925925926;30,3978343949045;"Terrestre"
"PHYCOL";2001;"AD";"Court";6,46475415711011;7,34439834024893;7,79245283018868;8,46255760368664;9,83333333333336;"Terrestre"
"PRUMOD";2001;"AD";"Court";16,7251109396103;18,4722222222222;19,2253521126761;20,1861001317523;23,7007462686567;"Terrestre"
"PYRULA";2001;"AD";"Court";18,5686363636363;20,2499999999999;20,7321428571428;22,275;25,5637951807229;"Terrestre"
"SYLATR";2001;"AD";"Court";14,8986486486486;16,4407894736842;17,1164383561644;18,375;21,5599999999999;"Terrestre"
"TROTRO";2001;"AD";"Court";8,00916917778734;9,38297872340425;10;10,7480434782608;12,4259308510638;"Terrestre"
"TURMER";2001;"AD";"Court";76,0075481371767;83,0681818181817;87,0731707317073;92,1923076923081;104,530438158886;"Terrestre"
"TURPHI";2001;"AD";"Court";58,0840923236516;63,6623563218391;67,2314516129033;71,801724137931;84,2130541871921;"Terrestre"
"AEGCAU";2002;"AD";"Court";7,20110169491526;8;8,5;8,78813559322034;10,1078512396694;"Terrestre"
"CETCET";2002;"AD";"Court";11,1152988215488;12,5074873453318;14,0594795539034;14,8660377358491;17,1563636363636;"Terrestre"
"ERIRUB";2002;"AD";"Court";14,9801034482758;16;16,6137931034483;17,4947183098592;21,9539788732394;"Terrestre"
"FRICOE";2002;"AD";"Court";19,2655357142857;20,4932539682539;21,1849329205366;22,5202810180276;23,9571428571429;"Terrestre"
"PAPALU";2002;"AD";"Court";9,97787031150668;10,327868852459;10,5882352941177;10,6615384615385;10,8545254598774;"Terrestre"
"PARCAE";2002;"AD";"Court";9,43548387096774;10,0279523809524;10,43046875;11;11,9714566929134;"Terrestre"
"PARMAJ";2002;"AD";"Court";15,1593782929399;16,9393932085665;17,5364077669903;18,2497401247401;20,4050164473684;"Terrestre"
"PASDOM";2002;"AD";"Court";22,2569763958783;26,0637957317073;27,6006097560976;28,2577004219409;30,3363840772818;"Terrestre"
"PHYCOL";2002;"AD";"Court";6,43636363636364;7,15266053662948;7,61290322580644;8;9,58061425061425;"Terrestre"
"PRUMOD";2002;"AD";"Court";16,8630136986302;18,3687943262411;19,2503572157584;20,3414453467954;23,6181640625;"Terrestre"
"PYRULA";2002;"AD";"Court";18,225;20,1;20,9164556962025;22,1337209302325;24,80625;"Terrestre"
"SYLATR";2002;"AD";"Court";15,0930713054523;16,3885135135134;17,1499999999999;18,375;21,3368342264678;"Terrestre"
"TROTRO";2002;"AD";"Court";8,1253989361702;9,3372222222222;10;10,3549145299145;11,468085106383;"Terrestre"
"TURMER";2002;"AD";"Court";77,457666666667;83,8809681697613;87,1303258145364;91,0714285714286;104,069262295082;"Terrestre"
"TURPHI";2002;"AD";"Court";58,7732989238604;64,7584707646177;67,95611814346;72,5755735492577;84,7471434997751;"Terrestre"
"AEGCAU";2003;"AD";"Court";6,62161016949153;7,75537094855784;8,00635593220339;8,24580054479419;9,51449459093983;"Terrestre"
"CETCET";2003;"AD";"Court";11,2442396313364;13,4219916044776;13,8432371250707;14,4415322580645;15,6357398873528;"Terrestre"
"ERIRUB";2003;"AD";"Court";14,5423684210526;15,7152777777778;16,4507042253521;17,3785467128028;21,5032608695652;"Terrestre"
"FRICOE";2003;"AD";"Court";18,4518433765573;20,2498309668695;21,2345679012346;22,1063027940221;24,409756097561;"Terrestre"
"PAPALU";2003;"AD";"Court";10,0457165948276;10,5468196721312;10,7846153846154;11,2714365671642;11,9200403225806;"Terrestre"
"PARCAE";2003;"AD";"Court";9,49890510948905;10,3623188405797;10,7518796992482;11,171875;11,9166666666667;"Terrestre"
"PARMAJ";2003;"AD";"Court";15,293359611886;16,8701352853966;17,3273155416013;18,2497401247401;20,8333333333333;"Terrestre"
"PASDOM";2003;"AD";"Court";25,252688172043;26,6352201257862;28,0729166666667;28,25;29,2920833333333;"Terrestre"
"PHYCOL";2003;"AD";"Court";6,29429112554113;7,22241379310345;7,55199999999996;7,97402812241521;9,9570093457944;"Terrestre"
"PRUMOD";2003;"AD";"Court";15,9402462121212;18,2117100371747;19,0441176470588;20,0911182818451;22,0144927536232;"Terrestre"
"PYRULA";2003;"AD";"Court";19,0625553797468;20,7719512195122;21,7367088607595;22,7571428571428;26,4885093167702;"Terrestre"
"SYLATR";2003;"AD";"Court";14,8986486486486;16,3885135135134;17,4078947368421;18,375;21,2446638509604;"Terrestre"
"TROTRO";2003;"AD";"Court";7,95978723404255;9,30999999999996;9,8;10,29;11,3982556100982;"Terrestre"
"TURMER";2003;"AD";"Court";76,3014110006322;83,6275464709514;87,3991935483871;90,7583041958044;103,244507786429;"Terrestre"
"TURPHI";2003;"AD";"Court";59,0365486725664;64,4335793752675;67,3789711934158;70,750442086649;85,4826630434782;"Terrestre"
"AEGCAU";2004;"AD";"Court";7,3018433626033;7,87096774193549;8,13333333333333;8,38834816462737;9,18542929292929;"Terrestre"
"CETCET";2004;"AD";"Court";11,7713513513513;13,4259602425876;15,0153846153847;15,25;15,8840928819445;"Terrestre"
"ERIRUB";2004;"AD";"Court";14,6500894475437;15,7837837837837;16,4507042253521;17,3436241610738;21,7013182296627;"Terrestre"
"FRICOE";2004;"AD";"Court";19,6955080470814;20,7586206896553;21,7471264367817;23,1538461538462;25,4739425816349;"Terrestre"
"PAPALU";2004;"AD";"Court";9,64635444209413;10,2862242199894;10,6192058823529;11,6054737109474;13,4746755826271;"Terrestre"
"PARCAE";2004;"AD";"Court";9,71968283582089;10,3569664031621;10,6734121363983;11,4705882352941;13,0283104530904;"Terrestre"
"PARMAJ";2004;"AD";"Court";15,5844155844155;16,9736842105264;17,5862068965517;18,5;20;"Terrestre"
